_id,App,Vendor,Price,Purchases,Rating_Votes,Description_Length,Description_Word_Count,App_Name_Length,Vendor_Avg_Purchases,Vendor_App_Count,Vendor_Success_Rate,Price_vs_Vendor_Avg,Success
682353fc72b9630b085dc3fb,Dashboard Ninja with AI,Ksolves India Ltd.,575.98,2570,130.0,887,118,23,228.53,58.0,0.18620094025241787,2.1746583100505927,1
682353fc72b9630b085dc3fc,Shopify Odoo Connector,Emipro Technologies Pvt. Ltd.,554.19,1681,194.0,1519,201,22,1066.16,19.0,0.8686824244498221,1.3828475895797985,1
682353fc72b9630b085dc3fd,Odoo WooCommerce Connector,Emipro Technologies Pvt. Ltd.,554.19,1504,103.0,1389,179,26,1066.16,19.0,0.8686824244498221,1.3828475895797985,1
682353fc72b9630b085dc3fe,Simplify Access Management,Terabits Technolab,283.91,588,13.0,4004,382,26,80.64,42.0,0.0657036004986434,1.379342175581791,1
682353fc72b9630b085dc3ff,Odoo Direct Print PRO,VentorTech,332.07,1352,27.0,1017,133,21,176.48,27.0,0.14379180823413426,1.1996748554913295,1
682353fc72b9630b085dc400,Amazon Odoo Connector,Emipro Technologies Pvt. Ltd.,554.19,556,89.0,1457,208,21,1066.16,19.0,0.8686824244498221,1.3828475895797985,1
682353fc72b9630b085dc401,Advanced Dashboard Ninja with AI,Ksolves India Ltd.,741.46,1208,28.0,455,63,32,228.53,58.0,0.18620094025241787,2.7994412142263836,1
682353fc72b9630b085dc402,Odoo Power BI Connector,Webkul Software Pvt. Ltd.,390.66,213,0.0,211,31,23,53.23,448.0,0.04337056863272307,2.794220728131035,1
682353fc72b9630b085dc403,Cloud Storage Solutions,faOtools,386.49,620,0.0,544,65,23,131.34,88.0,0.10701278384786489,2.417224341734943,1
682353fc72b9630b085dc404,Odoo Shopify Connector PRO,VentorTech,554.19,115,12.0,1021,117,26,176.48,27.0,0.14379180823413426,2.0021315028901734,1
682353fc72b9630b085dc405,Odoo WooCommerce Connector PRO,VentorTech,554.19,63,6.0,1100,119,30,176.48,27.0,0.14379180823413426,2.0021315028901734,1
682353fc72b9630b085dc406,IZI Dashboard with AI,IZI PT Solusi Usaha Mudah,376.46,395,22.0,202,28,21,60.38,16.0,0.04919622269479277,1.941416120880821,1
682353fc72b9630b085dc407,ResilientIT - Bill.com Integration,Resilient IT,2741.49,1,0.0,30,4,34,1.0,2.0,0.0008147767918978596,0.9999963523618456,0
682353fc72b9630b085dc408,Odoo PrestaShop Connector PRO,VentorTech,554.19,160,21.0,1099,121,29,176.48,27.0,0.14379180823413426,2.0021315028901734,1
682353fc72b9630b085dc409,Odoo SaaS Master,SkyERP,683.37,9,0.0,36,6,16,40.92,13.0,0.033340666324460415,4.7485928705440905,0
682353fc72b9630b085dc40a,Access Manager Ninja,Ksolves India Ltd.,320.51,111,9.0,1678,228,20,228.53,58.0,0.18620094025241787,1.2101110020388128,1
682353fc72b9630b085dc40b,Construction Management | Job Costing | BOQ | Work Orders | RA Billing | Material Purchase Requisition | Construction Sub Contracting | Job Order | Job Sheet | Construction Budget,TechKhedut Inc.,390.14,88,0.0,31,3,179,31.81,69.0,0.025918049750270913,3.6927591102697583,1
682353fc72b9630b085dc40c,Odoo Product Label Builder,Garazd Creation,217.68,266,13.0,218,36,26,63.28,72.0,0.05155907539129656,3.615346287992028,1
682353fc72b9630b085dc40d,All In One Odoo WhatsApp Integration Modules | WhatsApp All-in-One Odoo Bundle | WhatsApp Cloud API | Odoo V18 Community,TechUltra Solutions Private Limited,312.33,13,0.0,158,22,120,21.8,49.0,0.01776213406337334,2.174545707721228,1
682353fc72b9630b085dc40e,ZKteco Biometric Attendance Integration,Technaureus Info Solutions Pvt. Ltd.,222.12,155,0.0,32,3,39,12.98,99.0,0.010575802758834218,1.0072555777253764,1
682353fc72b9630b085dc40f,ZATCA e-invoice Phase 2 Saudi Arabia (Integration Phase),HMPRO,832.95,63,16.0,92,11,56,31.0,5.0,0.025258080548833647,1.1430786754312534,1
682353fc72b9630b085dc410,Common Connector Library,Emipro Technologies Pvt. Ltd.,22.21,3814,0.0,125,16,24,1066.16,19.0,0.8686824244498221,0.055419702565126266,1
682353fc72b9630b085dc411,KnowSystem: Knowledge Base System,faOtools,386.49,384,10.0,309,38,33,131.34,88.0,0.10701278384786489,2.417224341734943,1
682353fc72b9630b085dc412,List View Manager,Ksolves India Ltd.,189.91,524,15.0,262,22,17,228.53,58.0,0.18620094025241787,0.7170203126179868,1
682353fc72b9630b085dc413,BigCommerce Odoo Integration,Vraja Technologies,499.77,60,0.0,757,80,28,13.87,134.0,0.011300954103623313,2.644285714285714,1
682353fc72b9630b085dc414,PowerBI Direct Connector,TechFinna,731.16,43,0.0,891,127,24,20.15,13.0,0.01641775235674187,1.6054983421532245,1
682353fc72b9630b085dc415,A complete Hotel Management Solution in ODOO,Webkul Software Pvt. Ltd.,292.75,72,0.0,460,66,44,53.23,448.0,0.04337056863272307,2.0939131678706815,1
682353fc72b9630b085dc416,Odoo Magento 2 Connector,Emipro Technologies Pvt. Ltd.,498.66,328,32.0,1394,198,24,1066.16,19.0,0.8686824244498221,1.2442858568719435,1
682353fc72b9630b085dc417,Odoo Google Shopping | Google Merchant Center Next,Garazd Creation,128.83,179,0.0,179,32,50,63.28,72.0,0.05155907539129656,2.139677794386315,1
